"id","ip","user-agent","lang","cookie","time","method","uri"
"1","5.18.176.7","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:108.0) Gecko/20100101 Firefox/108.0","ru,en-US;q=0.5","BdgrRUoIErEfvWnpH5nJQlT0NXG96pv8w0n0hqGS","1672084673","GET","/"
"2","5.18.176.7","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:108.0) Gecko/20100101 Firefox/108.0","ru,en-US;q=0.5","BdgrRUoIErEfvWnpH5nJQlT0NXG96pv8w0n0hqGS","1672084677","GET","/class/ekonom"
"3","5.18.176.7","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:108.0) Gecko/20100101 Firefox/108.0","ru,en-US;q=0.5","BdgrRUoIErEfvWnpH5nJQlT0NXG96pv8w0n0hqGS","1672084686","GET","/car/skoda-rapid"
"4","114.119.130.57","Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)","en",NULL,"1672085176","GET","/car"
"5","77.88.5.246","Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)","ru, uk;q=0.8, be;q=0.8, en;q=0.7, *;q=0.01",NULL,"1672087895","GET","/"
"6","77.88.5.38","Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)","ru, uk;q=0.8, be;q=0.8, en;q=0.7, *;q=0.01",NULL,"1672089079","GET","/"
"7","93.158.161.56","Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)","ru, uk;q=0.8, be;q=0.8, en;q=0.7, *;q=0.01",NULL,"1672089082","GET","/"
"8","77.88.5.215","Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)","ru, uk;q=0.8, be;q=0.8, en;q=0.7, *;q=0.01",NULL,"1672089344","GET","/"
"9","93.81.5.159","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 YaBrowser/22.11.3.818 Yowser/2.5 Safari/537.36","ru-RU,ru;q=0.9,en-US;q=0.8,en;q=0.7",NULL,"1672091211","GET","/"
"10","5.227.30.5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 YaBrowser/22.11.3.818 Yowser/2.5 Safari/537.36","ru-RU,ru;q=0.9,en-US;q=0.8,en;q=0.7",NULL,"1672092094","GET","/"
"11","85.93.49.104","Mozilla/5.0 (Linux; arm_64; Android 9; LLD-L31) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 YaApp_Android/22.116.1 YaSearchBrowser/22.116.1 BroPP/1.0 SA/3 Mobile Safari/537.36","ru-RU,ru;q=0.9,en-US;q=0.8,en;q=0.7",NULL,"1672095396","GET","/blog/sotovaya-svyaz-v-krymu-v-2022-godu"
"12","188.170.86.99","Mozilla/5.0 (Linux; Android 11; M2101K7BNY) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36","ru-RU,ru;q=0.7,en-US;q=0.5,en;q=0.3",NULL,"1672100381","GET","/arenda-avto-yalta"
"13","85.209.135.83","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0 Safari/537.36","en-US,en;q=0.5",NULL,"1672101780","GET","/"
"14","85.209.135.83","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0 Safari/537.36","en-US,en;q=0.5","VDumi5VfgLa4gtYJvSjXFnVSLVxmoI87b0Dcf6qJ","1672101782","GET","/"
"15","114.119.142.12","Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)","en",NULL,"1672103757","GET","/car/volkswagen-polo-20192020?place=17"
"16","114.119.141.42","Mozilla/5.0 (compatible;PetalBot;+https://webmaster.petalsearch.com/site/petalbot)","en",NULL,"1672107638","GET","/sitemap/metas"
"17","114.119.141.173","Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)","en",NULL,"1672108701","GET","/car/volkswagen-polo-20152017?place=3"
"18","114.119.136.137","Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)","en",NULL,"1672109726","GET","/car/volkswagen-jetta"
"19","114.119.146.36","Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)","en",NULL,"1672111132","GET","/car/mercedes-a-class"
"20","114.119.156.142","Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)","en",NULL,"1672111226","GET","/car/kia-k5?place=3"
"21","91.228.96.8","Mozilla/5.0 (Linux; Android 11; M2007J20CG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36","ru-RU,ru;q=0.9",NULL,"1672111915","GET","/"
"22","91.228.96.8","Mozilla/5.0 (Linux; Android 11; M2007J20CG) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Mobile Safari/537.36","ru-RU,ru;q=0.9","99OInRp5kWX1WZhCbxRzXkGZz3vUivdRmKdsRumm","1672111955","GET","/car/audi-a6"
"23","188.170.77.45","Mozilla/5.0 (Linux; Android 11; SM-A505FN) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36","ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3",NULL,"1672113173","GET","/"
"24","114.119.157.183","Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)","en",NULL,"1672114471","GET","/car/bmw-x3-diesel?place=5"
"25","114.119.130.78","Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)","en",NULL,"1672114578","GET","/arenda-avto-koktebel"
